"","x"
"1","m"
"2","m"
"3","m"
"4","m"
"5","f"
"6","f"
"7","f"
"8","m"
"9","f"
"10","f"
"11","m"
"12","f"
"13","m"
"14","f"
"15","f"
"16","f"
"17","f"
"18","m"
"19","m"
"20","f"
"21","f"
"22","m"
"23","f"
"24","f"
"25","f"
"26","f"
"27","m"
"28","m"
"29","f"
"30","m"
"31","f"
"32","m"
"33","m"
"34","f"
"35","m"
"36","f"
"37","f"
"38","m"
"39","f"
"40","m"
"41","f"
"42","m"
"43","m"
"44","m"
"45","m"
"46","m"
"47","f"
"48","f"
"49","m"
"50","f"
"51","f"
"52","m"
"53","m"
"54","m"
"55","m"
"56","f"
"57","m"
"58","m"
"59","f"
"60","m"
"61","f"
"62","m"
"63","m"
"64","m"
"65","f"
"66","f"
"67","f"
"68","f"
"69","f"
"70","m"
"71","m"
"72","m"
"73","m"
"74","m"
"75","m"
"76","m"
"77","f"
"78","m"
"79","f"
"80","f"
"81","m"
"82","m"
"83","m"
"84","f"
"85","m"
"86","f"
"87","f"
"88","m"
"89","m"
"90","m"
"91","m"
"92","f"
"93","m"
"94","m"
"95","f"
"96","f"
"97","f"
"98","m"
"99","f"
"100","m"
"101","m"
"102","m"
"103","m"
"104","m"
"105","f"
"106","m"
"107","f"
"108","m"
"109","m"
"110","m"
"111","m"
"112","m"
"113","f"
"114","m"
"115","f"
"116","m"
"117","f"
"118","m"
"119","m"
"120","m"
"121","f"
"122","m"
"123","f"
"124","m"
"125","f"
"126","m"
"127","f"
"128","f"
"129","f"
"130","f"
"131","f"
"132","f"
"133","m"
"134","f"
"135","m"
"136","m"
"137","f"
"138","m"
"139","m"
"140","f"
"141","f"
"142","f"
"143","f"
"144","f"
"145","f"
"146","m"
"147","f"
"148","m"
"149","m"
"150","f"
"151","f"
"152","f"
"153","m"
"154","m"
"155","f"
"156","f"
"157","m"
"158","f"
"159","f"
"160","m"
"161","f"
"162","m"
"163","m"
"164","f"
"165","f"
"166","f"
"167","f"
"168","f"
"169","m"
"170","f"
"171","m"
"172","m"
"173","m"
"174","f"
"175","f"
"176","f"
"177","f"
"178","m"
"179","f"
"180","f"
"181","f"
"182","m"
"183","f"
"184","m"
"185","f"
"186","f"
"187","m"
"188","f"
"189","f"
"190","f"
"191","f"
"192","m"
"193","m"
"194","m"
"195","f"
"196","m"
"197","f"
"198","m"
"199","f"
"200","m"
"201","m"
"202","f"
"203","f"
"204","f"
"205","m"
"206","f"
"207","m"
"208","m"
"209","f"
"210","f"
"211","f"
"212","f"
"213","m"
"214","m"
"215","m"
"216","m"
"217","f"
"218","f"
"219","m"
"220","m"
"221","m"
"222","m"
"223","f"
"224","m"
"225","f"
"226","m"
"227","m"
"228","f"
"229","f"
"230","f"
"231","f"
"232","f"
"233","f"
"234","m"
"235","m"
"236","m"
"237","m"
"238","f"
"239","f"
"240","f"
"241","m"
"242","f"
"243","f"
"244","m"
"245","m"
"246","m"
"247","m"
"248","f"
"249","m"
"250","m"
"251","m"
"252","m"
"253","f"
"254","f"
"255","m"
"256","f"
"257","f"
"258","f"
"259","f"
"260","m"
"261","m"
"262","f"
"263","f"
"264","m"
"265","m"
"266","f"
"267","m"
"268","f"
"269","f"
"270","f"
"271","m"
"272","f"
"273","f"
"274","m"
"275","m"
"276","f"
"277","m"
"278","m"
"279","f"
"280","f"
"281","m"
"282","f"
"283","m"
"284","m"
"285","f"
"286","m"
"287","f"
"288","m"
"289","m"
"290","m"
"291","f"
"292","f"
"293","f"
"294","f"
"295","m"
"296","f"
"297","m"
"298","f"
"299","m"
"300","f"
"301","f"
"302","m"
"303","m"
"304","m"
"305","f"
"306","f"
"307","m"
"308","m"
"309","f"
"310","m"
"311","m"
"312","f"
"313","m"
"314","f"
"315","f"
"316","m"
"317","f"
"318","m"
"319","f"
"320","f"
"321","f"
"322","m"
"323","f"
"324","f"
"325","m"
"326","f"
"327","m"
"328","m"
"329","m"
"330","m"
"331","m"
"332","m"
"333","m"
"334","f"
"335","m"
"336","f"
"337","f"
"338","m"
"339","f"
"340","m"
"341","f"
"342","f"
"343","m"
"344","m"
"345","m"
"346","f"
"347","m"
"348","f"
"349","m"
"350","f"
"351","f"
"352","f"
"353","f"
"354","m"
"355","m"
"356","f"
"357","m"
"358","m"
"359","m"
"360","f"
"361","m"
"362","m"
"363","m"
"364","m"
"365","m"
"366","m"
"367","f"
"368","f"
"369","f"
"370","m"
"371","f"
"372","f"
"373","f"
"374","f"
"375","m"
"376","f"
"377","m"
"378","m"
"379","f"
"380","f"
"381","f"
"382","m"
"383","f"
"384","f"
"385","f"
"386","f"
"387","m"
"388","f"
"389","f"
"390","m"
"391","f"
"392","m"
"393","f"
"394","f"
